KOI	RPLANET	PER	UPER	A	TPLANET	MSTAR	TSTAR	RSTAR	RR
1611.02		225.8852605	0.000725			0.69	4576	0.62	
1187.01	3.38	0.370529	2.00E-07	0.009	2075	0.91	5286	0.71	0.0435
961.02	2.63	0.4532875	0.0000015	0.01	1386	0.62	4188	0.56	0.04287
2306.01	0.94	0.512404	0.0000052	0.01	1254	0.55	3932	0.52	0.01655
2347.01	1.01	0.5879933	0.0000046	0.011	1230	0.56	4003	0.53	0.01742
1013.01	2.22	0.5187486	0.0000022	0.012	1802	0.92	5359	0.7	0.02919
1300.01	1.05	0.6313298	0.0000023	0.012	1233	0.71	4369	0.49	0.0197
1367.01	1.4	0.5678562	0.000004	0.012	1653	0.87	4927	0.69	0.01854
2409.01	1.54	0.5773752	0.0000033	0.012	1709	0.72	5062	0.7	0.02008
1459.01	4.17	0.6920069	0.0000014	0.013	1166	0.65	4060	0.55	0.06943
2119.01	1.47	0.5710391	0.0000035	0.013	1798	0.83	5022	0.86	0.01576
2542.01	1.07	0.7273148	0.0000111	0.013	985	0.51	3566	0.51	0.01919
2493.01	1.39	0.6630983	0.0000072	0.014	1600	0.83	4994	0.74	0.01725
2589.01	1.3	0.6640818	0.0000092	0.014	1631	0.87	5013	0.76	0.0156
2668.01	1.18	0.6793614	0.0000046	0.014	1711	0.82	5375	0.73	0.0148
191.03	1.2	0.7085982	0.0000086	0.015	1824	1.02	5495	0.85	0.01291
936.02	1.54	0.8930477	0.0000028	0.015	956	0.51	3684	0.52	0.0272
1150.01	1.1	0.6773911	0.000008	0.015	2154	1.04	5731	1.09	0.00924
1164.01	0.77	0.9337899	0.0000075	0.015	1014	0.56	3851	0.53	0.01325
1401.01	1.54	0.5667281	0.0000012	0.015	2748	1.19	6693	1.3	0.01086
1442.01	1.36	0.6693163	0.0000033	0.015	2099	1.08	5627	1.07	0.01159
2079.01	0.78	0.6938521	0.0000089	0.015	2023	0.94	5353	1.1	0.00649
2248.03	1	0.7619477	0.0000108	0.015	1566	0.78	5128	0.72	0.01277
2269.01	2.25	0.6140747	0.0000061	0.015	2457	1.25	6271	1.18	0.01744
2548.01	0.87	0.8271662	0.0000132	0.015	1373	0.69	4696	0.66	0.01208
1169.01	1.49	0.689204	0.000003	0.016	2008	1.04	5719	1.01	0.01345
1202.01	1.19	0.9282974	0.0000098	0.016	1097	0.57	4196	0.56	0.01934
1510.01	1.5	0.83995	0.0000092	0.016	1360	0.77	4772	0.67	0.02063
1662.01	1.7	0.7840262	0.0000079	0.016	1639	0.9	5262	0.8	0.01952
2202.01	1.06	0.8131804	0.0000059	0.016	1542	0.84	5123	0.74	0.01305
2281.01	0.9	0.7698541	0.0000074	0.016	1561	0.84	5000	0.8	0.0103
2571.01	1.01	0.8262695	0.0000094	0.016	1513	0.84	5044	0.74	0.01251
2607.01	1.41	0.7544552	0.0000062	0.016	1843	0.97	5681	0.86	0.01495
72.01	1.38	0.8374903	0.0000015	0.017	1903	1.03	5627	1	0.01265
225.01	40.65	0.8385977	8.00E-07	0.017	1906	1.08	6037	0.87	0.42798
500.05	1.38	0.9867923	0.0000078	0.017	1256	0.66	4613	0.65	0.01952
1239.01	1.58	0.7832832	0.0000089	0.017	1951	1.07	5849	0.97	0.0149
1428.01	1.55	0.927855	0.0000032	0.017	1373	0.85	4757	0.73	0.01955
1688.01	0.93	0.9210557	0.0000118	0.017	1629	0.73	5513	0.76	0.01123
1762.01	2.02	0.870697	0.0000044	0.017	1786	0.91	5726	0.85	0.02174
1812.01	4.57	0.805263	8.00E-07	0.017	2073	0.95	6022	1.03	0.04053
2266.01	1.63	1.0039653	0.0000121	0.017	1338	0.7	4778	0.69	0.02177
2324.01	0.54	1.2046814	0.0000264	0.017	737	0.45	3240	0.45	0.01098
2517.01	1	0.9685204	0.0000107	0.017	1690	0.74	5612	0.79	0.01156
1285.01	6.36	0.9374439	0.0000025	0.018	1577	0.98	5278	0.83	0.07065
1546.01	9.92	0.9175471	0.0000021	0.018	1675	0.93	5505	0.86	0.10624
1655.01	1.49	0.9384704	0.0000055	0.018	1822	0.94	5668	0.96	0.01426
1880.01	1.49	1.1511671	0.0000029	0.018	929	0.55	3898	0.53	0.02601
2325.01	1.4	1.0258586	0.0000067	0.018	1398	0.76	4869	0.76	0.01679
2344.01	1.02	1.118557	0.0000138	0.018	1103	0.64	4328	0.6	0.01563
739.01	1.51	1.2870749	0.0000056	0.019	961	0.57	4050	0.55	0.02516
823.01	7.89	1.028414	0.000004	0.019	1873	1.1	5976	0.96	0.0754
961.01	2.86	1.2137703	0.0000022	0.019	1006	0.62	4188	0.56	0.04657
1059.01	0.96	1.0226928	0.0000121	0.019	1477	0.94	5364	0.74	0.01185
1128.01	1.41	0.9748764	0.000004	0.019	1643	0.93	5480	0.88	0.0147
1988.01	3.42	0.9348918	0.0000046	0.019	2081	0.97	4604	2	0.01571
2223.01	1.47	1.1044546	0.0000067	0.019	1295	0.71	4851	0.7	0.01937
2492.01	0.88	0.9849379	0.0000169	0.019	1758	1	5818	0.89	0.00909
256.01	25.34	1.3786789	0.0000018	0.02	821	0.65	3639	0.52	0.44426
938.02	1.38	1.0456323	0.0000144	0.02	1548	0.97	5342	0.86	0.01466
1424.01	1.47	1.2195847	0.0000059	0.02	1162	0.75	4667	0.64	0.0212
1540.01	31.64	1.2078535	7.00E-07	0.02	1476	1	5390	0.77	0.37634
2350.01	1.89	1.0783902	0.0000083	0.02	1575	0.87	5180	0.95	0.01824
2355.01	1.46	1.2169973	0.0000117	0.02	1209	0.71	4691	0.68	0.01965
2527.01	0.53	1.3858003	0.0000175	0.02	966	0.57	4225	0.54	0.009
2543.01	1.13	1.301993	0.0000146	0.02	1193	0.64	4870	0.62	0.01685
1050.01	1.35	1.269095	0.0000044	0.021	1260	0.72	4894	0.71	0.01735
1198.04	1.52	1.0086168	0.0000315	0.021	2090	1.24	6297	1.19	0.0117
1475.01	1.24	1.6092984	0.0000127	0.021	862	0.56	4097	0.48	0.02375
1702.01	1.63	1.5381625	0.000008	0.021	764	0.5	3523	0.51	0.02938
1937.01	1.24	1.4112264	0.0000035	0.021	951	0.58	4212	0.55	0.02073
2058.01	1.14	1.5237315	0.0000117	0.021	870	0.56	3914	0.53	0.01954
2354.01	1.46	1.1512393	0.0000075	0.021	1677	0.93	5818	0.9	0.01491
2453.01	1.15	1.5305518	0.0000132	0.021	796	0.53	3647	0.51	0.02053
2573.01	4.24	1.3475056	0.000003	0.021	1228	0.65	5102	0.62	0.06222
1053.01	1.25	1.2248624	0.0000151	0.022	1440	0.99	5403	0.8	0.01432
2238.01	1.06	1.6468194	0.000012	0.022	844	0.55	3922	0.52	0.01865
2329.01	1.35	1.6153495	0.000015	0.022	851	0.55	3931	0.53	0.02333
2398.01	1.73	1.168993	0.0000075	0.022	2241	1.05	6257	1.45	0.01093
596.01	1.42	1.6826933	0.0000056	0.023	785	0.47	3740	0.52	0.02506
732.01	3.32	1.2602573	0.0000029	0.023	1474	0.98	5360	0.89	0.03407
1393.01	2.13	1.6947354	0.0000073	0.023	859	0.59	3972	0.55	0.03527
1419.01	8.31	1.3361075	0.0000019	0.023	1661	1.08	5848	0.95	0.0799
2095.01	0.93	1.4347788	0.0000162	0.023	1343	0.81	5484	0.71	0.01197
2116.01	1.25	1.2527398	0.0000096	0.023	1627	0.97	5983	0.87	0.01312
2600.01	1.17	1.3325567	0.0000217	0.023	1626	0.86	5539	1.02	0.01053
481.02	1.54	1.5540009	0.000006	0.024	1240	0.94	5227	0.69	0.0204
977.01	63.45	1.3537763	0.0000063	0.024	4859	0.21	4204	16.48	0.03532
1407.01	0.76	1.3866179	0.0000473	0.024	1416	0.96	5487	0.82	0.00844
1452.01	22.39	1.1522169	0.0000024	0.024	2584	1.27	6834	1.76	0.11647
1557.04	1.35	1.4991421	0.0000139	0.024	1255	0.8	4783	0.85	0.01455
569.02	1.29	1.6329159	0.0000133	0.025	1246	0.79	5039	0.79	0.01512
703.01	1.36	1.3686106	0.0000084	0.025	1886	1.14	6178	1.2	0.01038
809.01	10.95	1.5947447	4.00E-07	0.025	1478	1.06	5690	0.87	0.11587
961.03	2.54	1.8651086	0.000005	0.025	877	0.62	4188	0.56	0.04141
1615.01	1.17	1.340638	0.0000107	0.025	1764	1.15	5986	1.12	0.00961
2072.01	0.82	1.5431978	0.000016	0.025	1445	0.88	5832	0.79	0.00949
203.01	14.81	1.4857113	2.00E-07	0.026	1621	1.05	5787	1.05	0.12953
299.01	2.07	1.5416821	0.0000042	0.026	1597	1.19	5538	1.11	0.01708
496.01	2.09	1.6168863	0.0000055	0.026	1437	1.02	5237	1.01	0.01903
799.01	6.07	1.6266374	0.0000048	0.026	1452	1.04	5491	0.93	0.05957
882.01	12.17	1.9568102	8.00E-07	0.026	1031	0.93	5081	0.55	0.20287
1515.01	1.01	1.9370342	0.0000111	0.026	839	0.59	4103	0.56	0.01665
2662.01	1.02	2.1043158	0.0000186	0.026	694	0.52	3546	0.51	0.0183
377.03	1.67	1.5929716	0.0000079	0.027	1560	1	5777	1.01	0.01515
398.03	1.76	1.7293718	0.000009	0.027	1245	0.94	5101	0.83	0.01949
506.01	3.12	1.5831556	0.0000039	0.027	1530	1.06	5777	0.97	0.02942
665.02	1.16	1.6118807	0.0000122	0.027	1639	1.09	5864	1.08	0.00981
801.01	8.98	1.6255234	6.00E-07	0.027	1485	1.04	5472	1.02	0.08055
939.03	1.13	1.620436	0.0000219	0.027	1446	1.02	5649	0.91	0.01138
1713.02	1.21	2.2405067	0.0000159	0.027	787	0.53	4105	0.51	0.02174
1820.02	2.29	1.6538975	0.000014	0.027	1825	0.91	5297	1.65	0.01274
2049.01	1.35	1.5690601	0.000012	0.027	1674	1.1	6052	1.06	0.01164
2399.01	0.77	1.9169924	0.0000218	0.027	1063	0.7	5011	0.62	0.01136
2421.01	0.54	2.2703946	0.0000441	0.027	861	0.52	4586	0.49	0.01015
2628.01	1.07	1.681873	0.0000293	0.027	1583	0.92	5947	0.98	0.01
356.01	6.27	1.8270813	0.000002	0.028	1790	1.12	5124	1.76	0.03273
442.02	1.37	1.7323388	0.0000145	0.028	1440	1.06	5750	0.9	0.01393
778.01	1.59	2.2433803	0.0000122	0.028	790	0.55	4082	0.54	0.02703
904.01	1.65	2.2111207	0.0000119	0.028	876	0.61	4362	0.58	0.02607
1176.01	10.95	1.9737605	4.00E-07	0.028	1005	0.74	4601	0.69	0.14614
1306.01	1.25	1.7963576	0.0000231	0.028	1410	1.06	5714	0.88	0.01313
1337.01	1.15	1.9228203	0.0000181	0.028	1166	0.93	5067	0.76	0.01379
1502.01	2.13	1.8764018	0.0000162	0.028	1117	0.9	5034	0.71	0.02751
1799.01	45.5	1.7310805	0.0000015	0.028	1422	0.99	5735	0.89	0.47151
2013.01	0.75	2.4143597	0.0000118	0.028	757	0.51	4115	0.49	0.01415
2035.01	2.21	1.9315635	0.0000073	0.028	1383	0.82	5445	0.93	0.02181
2206.01	1.35	1.8342246	0.000023	0.028	1387	0.91	5521	0.91	0.01362
2220.03	1.14	1.8978093	0.0000248	0.028	1421	0.84	5738	0.88	0.01182
2233.01	1.61	1.8114344	0.0000172	0.028	1442	0.87	5474	1	0.0148
2242.01	1.54	1.7558456	0.0000179	0.028	1284	0.92	5383	0.82	0.01719
102.01	3.7	1.7351363	0.0000012	0.029	1571	1.24	5838	1.08	0.03144
196.01	9.89	1.8555577	3.00E-07	0.029	1403	1.04	5585	0.94	0.09635
202.01	11.4	1.7208604	3.00E-07	0.029	1566	1.09	5912	1.05	0.09995
439.01	3.86	1.90221	0.0000017	0.029	1227	0.89	5267	0.81	0.04371
1824.02	1.75	1.678338	0.0000072	0.029	1800	1.09	5978	1.35	0.01186
1961.01	2.12	1.9078086	0.0000095	0.029	1804	0.92	5331	1.71	0.01142
2193.01	1.62	2.3617152	0.0000151	0.029	844	0.6	4322	0.57	0.02613
2272.01	1.49	1.3413638	0.0000184	0.029	2881	1.74	7274	2.34	0.00584
2276.01	2.97	1.4425953	0.0000077	0.029	2626	1.49	6921	2.15	0.0127
2320.01	0.85	2.0373148	0.0000535	0.029	1243	0.77	5524	0.76	0.01035
2339.01	1.35	2.0323175	0.0000208	0.029	1037	0.76	4606	0.76	0.01634
64.01	5.12	1.9510914	0.000004	0.03	1497	1.19	5439	1.17	0.04015
248.03	1.85	2.5765549	0.0000115	0.03	736	0.55	3974	0.53	0.03213
254.01	10.18	2.4552405	4.00E-07	0.03	745	0.53	3948	0.55	0.16998
339.01	1.55	1.9803611	0.0000086	0.03	1431	1.05	6013	0.87	0.01623
579.01	1.55	2.020012	0.000008	0.03	1127	0.84	5074	0.76	0.01867
605.01	1.54	2.6280998	0.0000064	0.03	775	0.6	4270	0.51	0.02787
676.02	2.56	2.4532339	0.000002	0.03	839	0.63	4367	0.57	0.04118
1427.01	1.28	2.6130043	0.0000254	0.03	732	0.56	4027	0.51	0.02313
1706.01	2.81	1.9214304	0.0000089	0.03	1686	0.95	5067	1.71	0.01507
1845.01	4.26	1.9703213	0.0000089	0.03	1641	0.97	4717	1.87	0.02095
1867.01	1.21	2.5495588	0.0000127	0.03	719	0.55	3892	0.53	0.0211
1916.03	0.82	2.0248479	0.0000281	0.03	1366	0.89	5776	0.86	0.00875
1922.01	1.77	1.9545383	0.0000132	0.03	1375	0.98	5778	0.87	0.01863
